identity_number;first_name;last_name;birthday;;
100;Blahoslav;Ftáčin;1992-03-10 00:00:00.000000;;
101;Paulína;Bórová;964-03-08 00:00:00.000000;;
102;Lenka;Bukovská;1980-02-21 00:00:00.000000;;
103;Milota;Smreková;1973-10-26 00:00:00.000000;;
104;Laura;Jalovecová;1972-12-28 00:00:00.000000;;
105;Melinda;Mlynáriková;1981-09-11 00:00:00.000000;;
106;Bruno;Beňo;1963-05-19 00:00:00.000000;;
107;Rebeka;Ondrušeková;977-03-09 00:00:00.000000;;
108;Jearoslava;Cesnaková;1990-12-13 00:00:00.000000;;
109;Adam;Otčenáš;963-12-08 00:00:00.000000;;
110;Zina;Lisická;1966-07-17 00:00:00.000000;;
111;Lívia;Lajčáková;1980-02-25 00:00:00.000000;;
112;Viola;Smreková;985-03-07 00:00:00.000000;;
113;Lukáš;Kocian;1961-12-11 00:00:00.000000;;
114;Dobromila;Mikušová;1960-01-24 00:00:00.000000;;
115;Božena;Gáliková;967-04-04 00:00:00.000000;;
116;Dana;Kráľová;1966-11-24 00:00:00.000000;;
117;Zita;Almášiová;1970-10-31 00:00:00.000000;;
118;Rozália;Šoltésová;1977-04-27 00:00:00.000000;;
119;Zina;Beranová;1979-05-12 00:00:00.000000;;
120;Blažej;Paška;1986-03-29 00:00:00.000000;;
121;Adolf;Droppa;1977-07-15 00:00:00.000000;;
122;Oskar;Loj;975-08-07 00:00:00.000000;;
123;Viliam;Konôpka;1976-03-31 00:00:00.000000;;
124;Urban;Paška;1976-04-22 00:00:00.000000;;
125;Anton;Dorko;1959-10-31 00:00:00.000000;;
126;Drahoslava;Murínová;1992-07-18 00:00:00.000000;;
127;Jaroslav;Lupták;1999-09-14 00:00:00.000000;;
128;Ivica;Palková;975-11-04 00:00:00.000000;;
129;Vasil;Holúbek;968-12-09 00:00:00.000000;;
130;Margaréta;Lajčáková;1990-09-12 00:00:00.000000;;
131;Andrej;Timko;1977-06-27 00:00:00.000000;;
132;Arpád;Puškár;1964-08-26 00:00:00.000000;;
133;Radúz;Hlaváč;1991-02-11 00:00:00.000000;;
134;Alan;Bicek;995-06-02 00:00:00.000000;;
135;Hedviga;Konôpková;970-06-04 00:00:00.000000;;
136;Sergej;Duda;1969-06-11 00:00:00.000000;;
137;Henrich;Bán;1975-04-16 00:00:00.000000;;
138;Peter;Holúbek;1997-10-13 00:00:00.000000;;
139;Dobroslav;Polák;1966-01-10 00:00:00.000000;;
140;Igor;Halák;1965-07-16 00:00:00.000000;;
141;Augustín;Timko;1991-06-27 00:00:00.000000;;
142;Dobromila;Jakubecová;982-05-01 00:00:00.000000;;
143;Oskar;Žigo;1998-11-20 00:00:00.000000;;
144;Angela;Heretiková;1998-02-21 00:00:00.000000;;
145;Lukáš;Martinec;1989-03-15 00:00:00.000000;;
146;Kristián;Koppa;1964-05-12 00:00:00.000000;;
147;Jarolím;Debnár;960-04-04 00:00:00.000000;;
148;Henrich;Škultéty;1969-10-29 00:00:00.000000;;
149;Viliam;Mamojka;1986-10-12 00:00:00.000000;;
150;Bohumil;Vydarený;971-12-05 00:00:00.000000;;
151;Igor;Čapka;1997-01-27 00:00:00.000000;;
152;Adam;Pavelka;1994-10-23 00:00:00.000000;;
153;Galina;Ťažká;1994-11-23 00:00:00.000000;;
154;Aurel;Miklík;1998-07-26 00:00:00.000000;;
155;Slávka;Maďarová;975-04-06 00:00:00.000000;;
156;Lesana;Ťažká;969-06-01 00:00:00.000000;;
157;Štefan;Baša;982-04-08 00:00:00.000000;;
158;Štefan;Jadľovský;1987-02-13 00:00:00.000000;;
159;Bronislava;Almášiová;1990-12-22 00:00:00.000000;;
160;Matúš;Orlík;1985-10-16 00:00:00.000000;;
161;Vendelín;Ďurkovič;977-11-02 00:00:00.000000;;
162;Dobroslav;Bakoš;1961-11-10 00:00:00.000000;;
163;Drahomír;Gálik;1985-09-29 00:00:00.000000;;
164;Belo;Mamojka;966-11-01 00:00:00.000000;;
165;Miroslava;Bilková;993-04-04 00:00:00.000000;;
166;Klára;Durdíková;1986-01-12 00:00:00.000000;;
167;Bohdan;Dančák;1968-12-23 00:00:00.000000;;
168;Malvína;Romančíková;1974-02-24 00:00:00.000000;;
169;Slávka;Chalupková;1999-01-27 00:00:00.000000;;
170;Marián;Bielik;998-05-07 00:00:00.000000;;
171;Kvetoslava;Adamecová;992-10-04 00:00:00.000000;;
172;Renáta;Zajacová;1960-06-12 00:00:00.000000;;
173;Pankrác;Kyseľ;1984-12-23 00:00:00.000000;;
174;Iveta;Bednáriková;1963-03-24 00:00:00.000000;;
175;Ondrej;Beňo;1962-08-31 00:00:00.000000;;
176;Imrich;Greguš;1969-09-30 00:00:00.000000;;
177;Marcel;Jakubček;979-04-04 00:00:00.000000;;
178;Vladimíra;Hlaváčová;991-06-06 00:00:00.000000;;
179;Rastislav;Kubiček;1998-12-13 00:00:00.000000;;
180;Irena;Adamová;1987-08-30 00:00:00.000000;;
181;Lívia;Vaneková;1965-02-22 00:00:00.000000;;
182;Viliam;Borovský;985-10-02 00:00:00.000000;;
183;Bruno;Doležal;963-04-05 00:00:00.000000;;
184;Vladimíra;Gregorová;968-06-04 00:00:00.000000;;
185;Miriama;Beihofnerová;1964-01-14 00:00:00.000000;;
186;Aurélia;Hubová;986-06-04 00:00:00.000000;;
187;Boleslav;Bán;1967-01-18 00:00:00.000000;;
188;Klára;Stodolová;1973-01-12 00:00:00.000000;;
189;Štefan;Lupták;1994-04-23 00:00:00.000000;;
190;Aurélia;Marcinková;997-04-08 00:00:00.000000;;
191;Sabína;Sklárová;1973-12-26 00:00:00.000000;;
192;Mikuláš;Jurčo;1972-03-23 00:00:00.000000;;
193;Hedviga;Biceková;1998-05-25 00:00:00.000000;;
194;Izabela;Andrášiková;969-02-04 00:00:00.000000;;
195;Jela;Kyseľová;992-05-08 00:00:00.000000;;
196;Juliana;Hlaváčová;975-01-01 00:00:00.000000;;
197;Adam;Hrušovský;1966-01-10 00:00:00.000000;;
198;Adela;Palkovičová;1977-04-17 00:00:00.000000;;
199;Žigmund;Koppa;1983-11-23 00:00:00.000000;;
200;Mikuláš;Černík;1982-10-18 00:00:00.000000;;
201;Henrieta;Binderová;1993-12-22 00:00:00.000000;;
202;Blahoslav;Dančiak;960-07-04 00:00:00.000000;;
203;Alexej;Palkovič;1994-01-11 00:00:00.000000;;
204;Slávka;Grznárová;1984-07-14 00:00:00.000000;;
205;Vanda;Janáková;1994-01-15 00:00:00.000000;;
206;Gabriela;Almášiová;978-06-03 00:00:00.000000;;
207;Silvia;Cígerová;1973-12-29 00:00:00.000000;;
208;Klement;Kocúr;1960-08-18 00:00:00.000000;;
209;Emília;Kocianová;1960-02-13 00:00:00.000000;;
210;Vít;Bilka;1984-12-11 00:00:00.000000;;
211;Ondrej;Bilka;1959-05-26 00:00:00.000000;;
212;Dušan;Hric;1962-05-22 00:00:00.000000;;
213;Hugo;Ťapák;1970-01-21 00:00:00.000000;;
214;Daniel;Vašek;1976-02-22 00:00:00.000000;;
215;Terézia;Jalovecová;1986-10-12 00:00:00.000000;;
216;Ema;Menšíková;1999-06-27 00:00:00.000000;;
217;Zuzana;Kolníková;1979-06-17 00:00:00.000000;;
218;Drahoslav;Koppa;1965-07-20 00:00:00.000000;;
219;Branislava;Filcová;1984-05-16 00:00:00.000000;;
220;Sára;Beihofnerová;1961-01-15 00:00:00.000000;;
221;Alojz;Tomek;1991-11-28 00:00:00.000000;;
222;Berta;Lojová;961-02-04 00:00:00.000000;;
223;Norbert;Hruška;977-11-04 00:00:00.000000;;
224;Eva;Miklíková;971-08-02 00:00:00.000000;;
225;Oľga;Bezáková;1975-01-27 00:00:00.000000;;
226;Gašpar;Smrek;989-02-03 00:00:00.000000;;
227;Metod;Melichár;969-08-02 00:00:00.000000;;
228;Bohumír;Kuruc;1975-11-23 00:00:00.000000;;
229;Patrícia;Husáková;1997-07-21 00:00:00.000000;;
230;Belo;Vanek;978-08-06 00:00:00.000000;;
231;Gabriela;Černíková;971-04-07 00:00:00.000000;;
232;František;Cibula;987-05-02 00:00:00.000000;;
233;Demeter;Čapkovič;980-06-08 00:00:00.000000;;
234;Tibor;Baranka;1980-07-10 00:00:00.000000;;
235;Leopold;Križan;961-08-01 00:00:00.000000;;
236;Benjamín;Dekýš;985-08-02 00:00:00.000000;;
237;Vladimíra;Balážová;1982-10-27 00:00:00.000000;;
238;Eugen;Hraško;973-01-08 00:00:00.000000;;
239;Uršuľa;Abrahámová;1984-11-15 00:00:00.000000;;
240;Július;Krištof;986-03-09 00:00:00.000000;;
241;Zita;Pauková;1962-11-15 00:00:00.000000;;
242;Hana;Korecová;1959-12-23 00:00:00.000000;;
243;Denisa;Pavelková;1973-12-29 00:00:00.000000;;
244;Ernest;Hodža;1975-01-16 00:00:00.000000;;
245;Marianna;Ďaďová;1962-11-23 00:00:00.000000;;
246;Aleš;Masaryk;1976-06-22 00:00:00.000000;;
247;Denisa;Luptáková;1992-04-17 00:00:00.000000;;
248;Stela;Tatarková;1991-02-19 00:00:00.000000;;
249;Medard;Chalupka;1965-11-15 00:00:00.000000;;
250;Maximilián;Hrmo;1973-09-27 00:00:00.000000;;
251;Gregor;Puška;1972-10-29 00:00:00.000000;;
252;Ela;Ondrejková;1965-08-12 00:00:00.000000;;
253;Milica;Pušková;1963-01-20 00:00:00.000000;;
254;Igor;Borek;1985-06-29 00:00:00.000000;;
255;Štefan;Dekýš;1960-09-29 00:00:00.000000;;
256;Filip;Habuša;984-11-03 00:00:00.000000;;
257;Vlasta;Pavlíčeková;1970-02-14 00:00:00.000000;;
258;Rastislav;Durdík;1961-12-16 00:00:00.000000;;
259;Bartolomej;Uram;967-08-03 00:00:00.000000;;
260;Vincent;Pavelka;959-08-08 00:00:00.000000;;
261;Vilma;Lišková;1997-02-18 00:00:00.000000;;
262;Melinda;Dudeková;966-04-05 00:00:00.000000;;
263;Bruno;Pavlovič;992-09-05 00:00:00.000000;;
264;Michal;Vlha;1986-05-20 00:00:00.000000;;
265;Danica;Stravová;981-09-04 00:00:00.000000;;
266;Marína;Zubeková;1979-09-13 00:00:00.000000;;
267;Vilma;Slašťanová;1972-02-15 00:00:00.000000;;
268;Nataša;Sklenicová;1998-11-18 00:00:00.000000;;
269;Izidor;Adamec;1986-01-22 00:00:00.000000;;
270;Radoslav;Juráš;1986-01-26 00:00:00.000000;;
271;Ivica;Hudáčeková;971-10-08 00:00:00.000000;;
272;Cyril;Ftáčin;973-06-03 00:00:00.000000;;
273;Zdenka;Kyseľová;1961-03-25 00:00:00.000000;;
274;Tamara;Starostová;1987-08-16 00:00:00.000000;;
275;Matilda;Boríková;1970-10-13 00:00:00.000000;;
276;Jarmila;Bašková;1992-06-24 00:00:00.000000;;
277;Vížazoslav;Jantošovič;1972-10-24 00:00:00.000000;;
278;Alena;Ťapáková;1985-02-25 00:00:00.000000;;
279;Benjamín;Danko;1993-10-27 00:00:00.000000;;
280;Ľubor;Cíger;1965-06-23 00:00:00.000000;;
281;Vilma;Bánová;1982-04-23 00:00:00.000000;;
282;Vladimíra;Nemecová;1999-01-26 00:00:00.000000;;
283;Alfréd;Vrabec;1988-02-10 00:00:00.000000;;
284;Anna;Hanaková;966-04-07 00:00:00.000000;;
285;Alexej;Feldek;1967-01-28 00:00:00.000000;;
286;Dobroslava;Kaliská;961-12-07 00:00:00.000000;;
287;Kamil;Andrášik;1971-11-24 00:00:00.000000;;
288;Kornel;Babka;1996-06-17 00:00:00.000000;;
289;Zoltán;Blažej;1989-11-18 00:00:00.000000;;
290;Lucia;Zigová;969-12-03 00:00:00.000000;;
291;Henrich;Labuda;1970-03-17 00:00:00.000000;;
292;Lukáš;Havránek;1975-12-21 00:00:00.000000;;
293;Vieroslava;Bednáriková;975-07-04 00:00:00.000000;;
294;Cyril;Cyprich;988-10-01 00:00:00.000000;;
295;Hortenzia;Holúbeková;1970-03-11 00:00:00.000000;;
296;Jela;Dančiaková;1972-05-15 00:00:00.000000;;
297;Elvíra;Heretiková;1966-07-26 00:00:00.000000;;
298;Matilda;Kocúrová;989-03-04 00:00:00.000000;;
299;Alica;Poláková;999-09-02 00:00:00.000000;;
300;Juraj;Murín;1975-10-12 00:00:00.000000;;
301;Hortenzia;Jantošovičová;1997-01-23 00:00:00.000000;;
302;Beňadik;Beňuška;1992-07-17 00:00:00.000000;;
303;Lukáš;Vlach;978-07-06 00:00:00.000000;;
304;Patrícia;Andrášiková;1988-07-14 00:00:00.000000;;
305;Andrej;Kraľovič;1976-11-18 00:00:00.000000;;
306;Radoslav;Beihofner;996-04-08 00:00:00.000000;;
307;Peter;Franek;960-07-02 00:00:00.000000;;
308;Anežka;Hlaváčová;1981-06-30 00:00:00.000000;;
309;Bystrík;Plekanec;1997-02-14 00:00:00.000000;;
310;Alžbeta;Hudáčeková;980-06-08 00:00:00.000000;;
311;Barbora;Ftáčinová;1975-12-22 00:00:00.000000;;
312;Tadeáš;Čekovský;1982-10-10 00:00:00.000000;;
313;Lenka;Masaryková;1974-11-13 00:00:00.000000;;
314;Dušana;Križanová;965-05-01 00:00:00.000000;;
315;Brigita;Lisická;1973-06-12 00:00:00.000000;;
316;Samuel;Durdík;1972-10-11 00:00:00.000000;;
317;Romana;Filcová;1991-04-30 00:00:00.000000;;
318;Dáša;Hroboňová;1986-10-21 00:00:00.000000;;
319;Sergej;Macko;1996-06-14 00:00:00.000000;;
320;Maximilián;Rybár;1979-02-12 00:00:00.000000;;
321;Vasil;Holub;1983-01-20 00:00:00.000000;;
322;Alojz;Hric;1988-09-13 00:00:00.000000;;
323;Gašpar;Bakoš;967-04-05 00:00:00.000000;;
324;Gabriel;Čapkovič;987-05-02 00:00:00.000000;;
325;Mária;Šimovičová;1992-01-12 00:00:00.000000;;
326;Blažej;Jurčo;983-10-09 00:00:00.000000;;
327;Svetozár;Česnek;1972-03-18 00:00:00.000000;;
328;Roland;Habuša;1980-03-22 00:00:00.000000;;
329;Terézia;Bilková;998-07-09 00:00:00.000000;;
330;Hermína;Tupá;1968-11-21 00:00:00.000000;;
331;Silvia;Bahnová;1968-05-10 00:00:00.000000;;
332;Xénia;Macková;1959-05-13 00:00:00.000000;;
333;Vilma;Kuffová;1989-05-17 00:00:00.000000;;
334;Albín;Lupták;978-06-09 00:00:00.000000;;
335;Alexandra;Blahová;1990-12-23 00:00:00.000000;;
336;Ondrej;Rosina;1982-04-12 00:00:00.000000;;
337;Danica;Danková;1972-02-15 00:00:00.000000;;
338;Matúš;Fabuš;1977-05-10 00:00:00.000000;;
339;Vlastimil;Kučera;1971-10-27 00:00:00.000000;;
340;Jerguš;Tupý;1979-10-16 00:00:00.000000;;
341;Hilda;Otčenášová;1994-01-23 00:00:00.000000;;
342;Izabela;Dubovská;1975-05-20 00:00:00.000000;;
343;Alojzia;Jakubčeková;1963-05-15 00:00:00.000000;;
344;Michal;Arpáš;985-04-04 00:00:00.000000;;
345;Cecília;Bukovská;1978-05-21 00:00:00.000000;;
346;Medard;Liška;1988-02-16 00:00:00.000000;;
347;Alfonz;Pauko;1999-04-27 00:00:00.000000;;
348;Zoltán;Dančák;1976-07-21 00:00:00.000000;;
349;Silvia;Hošťáková;1990-02-22 00:00:00.000000;;
350;Jaromír;Kocúr;970-01-09 00:00:00.000000;;
351;Eugen;Valent;959-12-04 00:00:00.000000;;
352;Anton;Rosina;1985-10-23 00:00:00.000000;;
353;Ľubor;Červeň;1974-11-13 00:00:00.000000;;
354;Eugen;Bán;982-07-06 00:00:00.000000;;
355;Žigmund;Vlk;1972-10-27 00:00:00.000000;;
356;Radomír;Vašek;1968-07-20 00:00:00.000000;;
357;Vilma;Bobulová;1978-07-13 00:00:00.000000;;
358;Albín;Kazík;1991-05-21 00:00:00.000000;;
359;Boris;Andrášik;1970-08-27 00:00:00.000000;;
360;Gašpar;Ondrášek;1988-05-24 00:00:00.000000;;
361;Vanesa;Baňová;968-08-06 00:00:00.000000;;
362;Jakub;Lesný;971-11-06 00:00:00.000000;;
363;Tomáš;Dančák;1959-05-20 00:00:00.000000;;
364;František;Bílek;993-07-09 00:00:00.000000;;
365;Renáta;Vydarená;1999-07-14 00:00:00.000000;;
366;Martin;Krištof;982-01-02 00:00:00.000000;;
367;Adrián;Havránek;1982-02-12 00:00:00.000000;;
368;Vendelín;Hrdlička;1966-09-23 00:00:00.000000;;
369;Ernest;Borič;1989-04-19 00:00:00.000000;;
370;Kamila;Višňovská;1993-09-25 00:00:00.000000;;
371;Ľuboš;Kuna;1998-11-28 00:00:00.000000;;
372;Ingrida;Stravová;1971-03-19 00:00:00.000000;;
373;Cyprián;Beňo;1971-01-26 00:00:00.000000;;
374;Eugénia;Štefáneková;1984-02-26 00:00:00.000000;;
375;Margita;Debnárová;990-04-09 00:00:00.000000;;
376;Mária;Jurinová;995-09-05 00:00:00.000000;;
377;Emanuel;Kuruc;1964-08-26 00:00:00.000000;;
378;Ľubomíra;Chovanová;1959-12-25 00:00:00.000000;;
379;Belo;Filc;1984-04-28 00:00:00.000000;;
380;Ingrida;Beranová;1964-01-13 00:00:00.000000;;
381;Miloslav;Maďaič;974-04-07 00:00:00.000000;;
382;Božidara;Stodolová;1972-09-26 00:00:00.000000;;
383;Vavrinec;Capko;968-04-09 00:00:00.000000;;
384;Ľuboslava;Maslová;997-12-02 00:00:00.000000;;
385;Róbert;Bernolák;1983-04-15 00:00:00.000000;;
386;Sergej;Kocúr;1988-07-30 00:00:00.000000;;
387;Fridrich;Gálik;1983-03-25 00:00:00.000000;;
388;Gabriela;Novotná;1990-10-18 00:00:00.000000;;
389;Alan;Jančo;1987-04-21 00:00:00.000000;;
390;Dobroslava;Gáliková;1976-05-10 00:00:00.000000;;
391;Irma;Cigániková;962-03-08 00:00:00.000000;;
392;Marta;Bašová;1964-10-23 00:00:00.000000;;
393;Radovan;Jalovec;1991-01-19 00:00:00.000000;;
394;Ľuboslava;Martinecová;982-04-01 00:00:00.000000;;
395;Marcel;Jančo;995-08-06 00:00:00.000000;;
396;Tatiana;Antalová;1989-11-11 00:00:00.000000;;
397;Ľudomil;Filc;1964-12-18 00:00:00.000000;;
398;Milena;Timková;963-05-02 00:00:00.000000;;
399;Miloslava;Gáliková;988-02-08 00:00:00.000000;;
400;Bronislava;Kližanová;1991-05-24 00:00:00.000000;;
401;Filip;Cigánik;973-12-01 00:00:00.000000;;
402;Fridrich;Ihnačák;1977-01-14 00:00:00.000000;;
403;Miloslav;Bobula;1960-08-10 00:00:00.000000;;
404;Dušana;Orlíková;1966-05-19 00:00:00.000000;;
405;Kristián;Baňo;975-01-02 00:00:00.000000;;
406;Emanuel;Mráz;1975-02-11 00:00:00.000000;;
407;Ivan;Martinec;1962-04-19 00:00:00.000000;;
408;Zdenka;Bezáková;1974-08-29 00:00:00.000000;;
409;Bohuš;Strava;1971-07-11 00:00:00.000000;;
410;Roman;Konôpka;989-09-07 00:00:00.000000;;
411;Marta;Martinecová;996-12-02 00:00:00.000000;;
412;Krištof;Zigo;1990-01-28 00:00:00.000000;;
413;Gabriel;Kočiš;1967-08-31 00:00:00.000000;;
414;Albína;Pavelová;1965-03-26 00:00:00.000000;;
415;Arpád;Rusnák;1994-10-11 00:00:00.000000;;
416;Adriána;Urblíková;1987-02-16 00:00:00.000000;;
417;Petra;Hošťáková;980-02-06 00:00:00.000000;;
418;Lujza;Krajčovičová;991-07-08 00:00:00.000000;;
419;Urban;Filc;1997-01-15 00:00:00.000000;;
420;Oleg;Masaryk;1990-08-19 00:00:00.000000;;
421;Nora;Žigmundová;1991-01-23 00:00:00.000000;;
422;Laura;Doležalová;1980-04-10 00:00:00.000000;;
423;Hortenzia;Kozáková;1973-09-30 00:00:00.000000;;
424;Vilma;Rosinová;1991-02-19 00:00:00.000000;;
425;Filoména;Labudová;1999-08-22 00:00:00.000000;;
426;Tibor;Očenáš;1981-07-31 00:00:00.000000;;
427;Svetlana;Devečková;1986-11-26 00:00:00.000000;;
428;Slavomír;András;993-03-04 00:00:00.000000;;
429;Alan;Hruška;1989-01-27 00:00:00.000000;;
430;Prokop;Cibula;1968-09-21 00:00:00.000000;;
431;Jarmila;Zubeková;972-01-03 00:00:00.000000;;
432;Bibiána;Bernoláková;965-08-05 00:00:00.000000;;
433;Jaromír;Šťastný;1969-12-10 00:00:00.000000;;
434;Anton;Menšík;1989-08-17 00:00:00.000000;;
435;Gabriel;Valach;1974-09-16 00:00:00.000000;;
436;Etela;Žigová;1960-10-31 00:00:00.000000;;
437;Miloš;Árpás;1978-04-10 00:00:00.000000;;
438;Vlastislav;Dusík;1983-04-17 00:00:00.000000;;
439;Mária;Bernoláková;1964-02-12 00:00:00.000000;;
440;Miroslava;Filcová;1977-08-10 00:00:00.000000;;
441;Alojzia;Maceková;1997-10-27 00:00:00.000000;;
442;Hana;Jakubčeková;1989-08-22 00:00:00.000000;;
443;Félix;Anderla;978-08-01 00:00:00.000000;;
444;Hermína;Štefáneková;1981-09-29 00:00:00.000000;;
445;Marián;Tomášek;959-08-05 00:00:00.000000;;
446;Žaneta;Boreková;1974-06-27 00:00:00.000000;;
447;Vratislav;Filip;962-01-04 00:00:00.000000;;
448;Dalibor;Lajčák;1986-06-30 00:00:00.000000;;
449;Eugénia;Jánošová;997-09-04 00:00:00.000000;;
450;Drahomíra;Hušťáková;968-08-03 00:00:00.000000;;
451;Oliver;Sklenica;969-07-02 00:00:00.000000;;
452;Kamila;Jurášová;1962-06-22 00:00:00.000000;;
453;Radoslav;Bartoš;1970-10-21 00:00:00.000000;;
454;Adriána;Maďarová;1999-11-13 00:00:00.000000;;
455;Melánia;Blahová;967-03-03 00:00:00.000000;;
456;Bohuš;Konrád;1993-01-11 00:00:00.000000;;
